,idx,collected,goal_amount,num_backers,category,duration,pledge_types,donate,creator,project_we_love,success,start_month,start_day,population,country
822,1173,11.176384185965645,10.333645273234664,139,design,30,8.0,0.0,Matt Gilbert,1.0,1,11,1,15.837971611150978, UK
823,1175,13.662053970532481,10.819778284410283,"3,150",technology,60,12.0,0.0,"Wynd Technologies, Inc.",1.0,1,11,2,11.35378904363031, CA
824,1177,13.853758276758185,11.483359981706366,"6,762",games,23,2.0,0.0,Triton Noir,1.0,1,11,1,14.28551418721001, Canada
826,1180,9.310095205113175,8.294049640102028,364,comics,45,21.0,0.0,Omar Morales,1.0,1,11,5,12.94626322746207, CA
827,1182,11.582274273104215,11.461632170582678,687,comics,30,15.0,0.0,Micheline Pitt,1.0,1,10,2,15.194750847520005, CA
828,1184,8.426340263290417,6.891625897052253,308,comics,41,5.0,0.0,Zhou Fang,1.0,1,10,4,13.049771178961905, UK
829,1185,10.886576749948699,10.819778284410283,653,film_Video,34,27.0,0.0,WG Film,1.0,1,10,3,12.617208312254673, Sweden
830,1189,8.092851027538384,10.677615462228353,39,film_Video,30,10.0,0.0,Wavelength Foundation,1.0,0,11,3,7.630461261783627, Svalbard and Jan Mayen
832,1194,8.750207862525711,8.517193191416238,386,games,30,8.0,0.0,Brian Wilson,1.0,1,11,2,11.507661635295129, PA
833,1197,11.567323873497212,10.450452222917992,"3,471",games,33,14.0,0.0,Jonas Manke,1.0,1,11,3,12.712607075278923, Germany
834,1198,12.08792516847309,11.082142548877775,"4,828",games,37,13.0,0.0,Aloft Studio,1.0,1,10,1,13.023084332062371, VA
835,1201,10.505314084518345,9.903487552536127,450,comics,32,11.0,0.0,Natalie Rebot,1.0,1,11,0,15.9166075437284, NY
836,1204,12.323931233887935,9.615805480084347,"4,018",design,50,11.0,0.0,Matthew and Mark McLachlan,1.0,1,10,4,13.433583737933631, CO
837,1207,11.541872429591866,9.903487552536127,612,design,35,14.0,0.0,ONDU,,1,10,2,7.965545573129992, Slovenia
838,1209,10.877061990400842,9.417354541360508,"1,532",design,30,9.0,0.0,Superflux,1.0,1,10,1,15.837971611150978, UK
839,1212,11.206862154569642,10.714417768752456,373,theater,30,21.0,0.0,Justin Chon,1.0,1,10,3,15.194750847520005, CA
840,1215,10.258185543590638,10.126631103850338,619,art,21,10.0,0.0,Redindhi,1.0,1,10,1,11.703314392841941, CA
841,1218,11.019033979231052,9.903487552536127,656,technology,30,9.0,0.0,MovieMask,1.0,1,10,1,13.270783382522602, Norway
842,1222,13.684790068191013,10.819778284410283,214,design,30,7.0,0.0,UFactory,1.0,1,10,2,10.015699543143056, DE
843,1223,13.293543093779439,10.46310334047155,"2,305",technology,30,5.0,0.0,Simone Giertz,1.0,1,10,1,14.151849928616338, CA
844,1225,14.169377061924711,11.289781913656018,"5,417",food,31,19.0,0.0,Silo,1.0,1,10,1,14.648708334886981, NY
845,1227,10.512709498158312,9.210340371976184,190,design,40,12.0,0.0,TIKA lab,1.0,1,10,2,11.094466298566607, CA
846,1236,9.689721829117627,9.63625038473639,393,comics,43,9.0,0.0,Joey Donaldson,1.0,1,9,3,14.77102200299171, Canada
847,1238,9.889919623056516,9.878169744551839,180,film_Video,30,15.0,0.0,Bruce Nachbar,1.0,1,10,1,15.936165897399452, Japan
848,1241,10.86501930065587,10.596634733096073,361,film_Video,31,34.0,0.0,Petter Ringbom,1.0,1,10,0,14.816343153421665, IL
849,1244,8.913146539151807,9.355738574665539,234,film_Video,30,24.0,0.0,Kelly Brack,1.0,0,10,1,13.304684934198283, Canada
850,1245,13.150841984794939,10.126631103850338,"6,993",design,31,10.0,0.0,Prepd,1.0,1,10,1,15.194750847520005, CA
851,1246,13.404549952232205,11.432257561902773,"2,530",journalism,31,18.0,0.0,Tortoise,1.0,1,10,1,15.837971611150978, UK
852,1247,11.650040428926104,11.512925464970229,278,technology,50,11.0,0.0,"mui Lab,Inc.",1.0,1,10,4,14.193700387937355, Japan
853,1250,11.200007632450186,10.915088464214607,331,film_Video,31,21.0,0.0,Zoe Potkin,1.0,1,10,0,15.9166075437284, NY
854,1254,13.876490881217334,10.126631103850338,"12,192",design,26,19.0,0.0,Misen,1.0,1,10,1,14.648708334886981, NY
855,1258,10.779509886627073,9.417354541360508,128,design,30,11.0,0.0,Herston,1.0,1,10,1,15.837971611150978, UK
856,1260,9.909867159500168,9.903487552536127,205,film_Video,30,9.0,0.0,OR Books,1.0,1,9,4,15.9166075437284, NY
858,1266,8.984944285608679,10.308952660644293,92,music,35,5.0,0.0,Constanze & Alisa,1.0,0,10,1,15.9166075437284, NY
859,1268,9.995210213975856,9.980448593672257,318,film_Video,40,14.0,0.0,André Wallström,1.0,1,9,0,14.230937217984762, Sweden
860,1269,10.19121962373795,10.126631103850338,345,film_Video,29,9.0,0.0,Hillary Bachelder,1.0,1,10,3,14.816343153421665, IL
861,1272,9.719865150009126,9.615805480084347,314,music,36,17.0,0.0,Hospital Productions,1.0,1,10,2,16.324637595040688, Mexico
862,1273,11.277759938428693,11.002099841204238,918,comics,28,22.0,0.0,Beehive Books,1.0,1,9,0,14.264955549209741, PA
863,1277,9.168476167877484,10.126631103850338,248,games,27,15.0,0.0,Moebial Studios,1.0,0,10,2,14.648708334886981, NY
864,1279,11.491783541216801,10.571316925111784,"2,066",comics,30,15.0,0.0,Greg Pak,1.0,1,9,0,15.9166075437284, NY
865,1280,12.29688180181802,11.512925464970229,"4,488",comics,29,17.0,0.0,Timbuktu Labs,1.0,1,9,1,15.194750847520005, CA
866,1285,12.304767998256736,10.819778284410283,"2,036",design,44,15.0,0.0,PolarLab,1.0,1,9,1,14.234030743166212, Taiwan
867,1289,11.848225586361263,10.819778284410283,"1,404",design,36,12.0,0.0,Emily Brooke,1.0,1,10,0,15.837971611150978, UK
868,1291,10.951017050974922,10.819778284410283,453,journalism,30,12.0,0.0,Paul Salopek,1.0,1,9,1,15.85339624216229, NM
869,1292,13.175930684264532,10.596634733096073,"6,599",fashion,32,21.0,0.0,BioLite,1.0,1,9,1,14.648708334886981, NY
870,1294,9.990811380707804,9.903487552536127,235,film_Video,31,13.0,0.0,Worklight Pictures,1.0,1,9,4,12.87291948429548, LA
871,1296,11.855947632455173,10.126631103850338,"2,030",design,30,11.0,0.0,Ivan Cash,1.0,1,10,0,12.94626322746207, CA
872,1298,10.740085515501034,10.54006438160768,"1,456",games,30,16.0,0.0,Spooky Doorway,1.0,1,9,2,11.166002812474174, Ireland
873,1300,9.365119425763737,7.824046010856292,440,food,27,8.0,0.0,Yappah Foods,1.0,1,9,1,14.816343153421665, IL
874,1302,12.918999629596426,9.169518377455928,"5,842",games,21,6.0,0.0,Free League,1.0,1,9,1,14.230937217984762, Sweden
876,1307,10.632822003857786,10.308952660644293,468,film_Video,29,12.0,0.0,Lynn Chen,1.0,1,9,2,15.194750847520005, CA
877,1308,11.091587192105758,9.254835611862735,856,crafts,31,10.0,0.0,CYCL,1.0,1,9,1,15.837971611150978, UK
878,1312,8.018256612042661,7.7408382998395995,68,art,30,11.0,0.0,Emilie Rigaud — A is for fonts,1.0,1,9,1,14.575639054856664, France
879,1314,7.706612913964197,8.656433258507741,105,art,30,14.0,0.0,Benjamin Dumond & Lucas Descroix,1.0,0,9,0,14.575639054856664, France
880,1315,10.404342837248787,10.399158928530442,393,film_Video,28,20.0,0.0,Nowhere Films,1.0,1,9,1,15.047007280023905, Germany
881,1317,12.663924616528496,10.596634733096073,"2,722",art,21,22.0,0.0,Amplifier,1.0,1,9,1,13.436372336049693, WA
882,1319,8.191740021277457,10.544077482357398,27,music,30,7.0,0.0,Joya Erlebach,1.0,0,9,1,14.368888071119223, Germany
883,1320,11.321728639236905,11.156250521031495,562,technology,30,7.0,0.0,Fenik,1.0,1,9,2,13.410750701107972, MA
884,1321,9.873512763784191,9.417354541360508,214,film_Video,23,7.0,0.0,Walks of Life Films,1.0,1,9,1,15.936165897399452, Japan
