index,page_name,likes_at_posting,followers_at_posting,type,likes,comments,shares,post_views,entities_identified,post_sponsored,post_age,page_age,positive_reactions,negative_reactions,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
8195,Indiegogo,523972,524876,video,35,46,40,26953,"ORG,DATE",0,1675,5303,5,3,0.5573635697364807,0.010104510933160782,0.010104543529450893,0.010104537010192871,0.010104972869157791,0.010104477405548096,0.010105950757861137,0.01010500080883503,0.010104481130838394,0.3516935110092163,0.010104477405548096
8196,Kickstarter,1563787,1534703,link,4,0,1,5,PERSON,0,1675,4839,1,0,0.6479729413986206,8.778709378749241e-05,6.75796482438439e-05,6.497167656702968e-05,0.1762213408946991,3.1509133266960793e-05,5.859291238589573e-05,9.268885942022623e-05,0.11982904374599457,4.2940045148014415e-05,5.776720661205575e-05
8198,GoFundMe,1252910,1232792,link,145,20,15,185,TIME,0,1675,4545,38,2,0.07836613804101944,7.015211194912155e-05,2.7800307225011244e-05,8.61053688795174e-05,0.3222523033618927,0.38383233547210693,1.781088904198331e-05,6.993446587146e-05,0.18522967398166656,5.851526996416351e-05,1.636903039958276e-05
8199,Kickstarter,1563787,1534703,video,25,4,8,10031,"ORG,PERSON,PRODUCT",0,1675,4839,7,0,3.148841514360632e-05,9.331278095756624e-05,4.7953282712016645e-05,0.699279248714447,0.1608697474002838,7.206734154941245e-05,0.08388200402259827,5.42360575143352e-05,3.3132786252925485e-05,5.5344437747321495e-05,9.360803107494594e-05
8200,GoFundMe,1252910,1232792,link,75,10,28,109,PERSON,0,1675,4545,23,11,0.25589942932128906,0.01010633073747158,0.010108198039233685,0.010107148438692093,0.1483834832906723,0.5148622989654541,0.01010633073747158,0.010106883011758327,0.01010668184608221,0.01010633073747158,0.010106907226145267
8201,Kickstarter,1563787,1534703,video,43,2,8,18184,,0,1675,4839,7,0,5.2301753325128467e-05,0.369594007730484,9.782833000958707e-05,6.864315783760529e-05,5.6977252936891145e-05,0.11262182891368866,4.1979379296103524e-05,0.2593778669834137,5.444138911404878e-05,8.63247870507548e-05,0.20052385330200195
8202,Indiegogo,523972,524876,video,5,5,1,606,DATE,0,1675,5303,0,1,0.4180677533149719,0.2183840572834015,0.01820322498679161,0.018202774226665497,0.0182028878480196,0.0182030126452446,0.018203817307949066,0.2179197520017624,0.01820477470755577,0.018203195184469223,0.018204716965556145
8204,Kickstarter,1563787,1534703,link,104,13,14,117,"ORG,WORK_OF_ART,PERSON,ORDINAL",0,1676,4839,13,0,1.610041924350623e-05,4.147302945239722e-05,7.147289933875833e-05,0.7078738808631897,0.11875073611736298,1.306542743820626e-05,2.0568015180190923e-05,8.708589201896525e-05,4.101138144040928e-05,0.138728067278862,4.959374931221063e-05
8205,Kickstarter,1563647,1534567,video,101,10,20,38511,ORG,0,1676,4839,14,0,8.264719694024253e-05,7.89872373559874e-05,0.34780484437942505,0.1901029497385025,4.926036038041272e-05,7.108405440994207e-05,0.3049740791320801,2.486517120143603e-05,9.120346882243533e-05,1.773723041180988e-05,0.09920907765626907
8206,GoFundMe,1252421,1232317,link,99,38,30,273,"PERSON,GPE",0,1676,4545,23,151,0.23242530226707458,0.01011203695088625,0.01011203695088625,0.010112154297530651,0.010112417861819267,0.2325403243303299,0.120614193379879,0.01011203695088625,0.01011203695088625,0.34363460540771484,0.01011281181126833
8207,Kickstarter,1563647,1534567,link,13,2,3,13,"CARDINAL,WORK_OF_ART,PERSON,DATE",0,1676,4839,0,0,2.435027058385393e-05,3.35238865197628e-05,0.17788325250148773,7.636894741583528e-05,3.56537929562093e-05,6.05107198343231e-05,4.296178924937504e-05,7.18701024516981e-05,0.36337271332740784,0.39811789989471436,2.477279315727742e-05
8208,GoFundMe,1252421,1232317,link,123,27,6,146,"ORG,CARDINAL,PERSON,DATE,GPE",0,1676,4545,23,0,0.15350386500358582,9.634815106130098e-05,3.776862279736749e-05,2.5423188365501694e-05,4.182146963524907e-05,0.5697070360183716,8.272073960836188e-05,0.24214133620262146,7.435172981977633e-05,5.365852349475246e-05,7.034958376549811e-05
