pledge_types,start_month,start_day,population,Person,Team,num_projects,num_backed,category_art,category_comics,category_crafts,category_dance,category_design,category_fashion,category_film_Video,category_food,category_games,category_journalism,category_music,category_photography,category_publishing,category_technology,category_theater,region_Africa,region_Asia,region_Europe,region_North America,region_Oceania,region_Other,region_South America,duration_<1 week,duration_1-2 weeks,duration_2 weeks - 1 month,duration_1-2 months,fb_likes,fb_comments,fb_shares,fb_positive_reactions,fb_negative_reactions,success,collection_ratio,num_backers
8,2,2,0.10309455704751432,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,6,0,0,0,1,1.2681999999999973,5.10594547390058
8,2,0,0.028332084644479106,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,15,2,0,5,0,1,2.158829568788506,6.455198563340122
10,2,1,0.17798537127286101,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,3,1,1,0,0,0.22823333333333337,4.060443010546419
29,3,1,0.06250663498989731,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,16,8,1,6,0,1,2.3722359999999965,9.120306249272202
19,2,1,0.3663417835041059,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,4,0,0,0,1,1.0054736842105283,4.5217885770490405
11,2,1,0.03706094179684917,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,14,2,0,6,0,1,1.1116666666666672,5.198497031265826
8,2,1,0.17798537127286101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,19,9,3,2,0,1,1.12271,5.66988092298052
15,2,2,0.17798537127286101,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24,4,2,2,0,1,3.9793645647072404,9.973013615184739
8,1,0,0.10309455704751432,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,4,0,0,0,0,0.7378333333333315,4.787491742782046
11,1,1,0.10309455704751432,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,1,0,1,0,1,3.2512499999999998,4.143134726391533
4,2,0,0.4641776867435145,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,27,5,2,4,0,1,6.864230258636086,5.3230099791384085
8,1,0,0.020784339716501708,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,4,1,2,0,1,1.1205714285714299,3.912023005428146
3,1,0,0.10289559137326071,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,1,0,3,0,1,1.3703333333333347,4.8283137373023015
1,1,3,0.001708774569964152,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,13,7,0,3,0,1,6.203749999999997,3.7376696182833684
8,1,0,0.0025706006616863434,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,17,1,8,1,1,1.059666666666668,5.1647859739235145
5,1,4,0.027863350195674284,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,2,0,1,0,1,2.1829393627954787,4.060443010546419
